,duration,distance,build_up_duration,shot_technique_3,shot_open_goal,pass_height_name,pass_cut_back,shot_technique_4,pass_through_ball,shot_technique_2,follows_goalkeeper,follows_dribble,pass_cross,goal
0,1.979564,9.899494936611664,9.586011,0,0,-1,0,1,0,0,0,0,0,0
1,0.0911,8.602325267042627,8.001138000000001,0,0,-1,0,1,0,0,0,0,0,0
2,1.4563700000000002,25.709920264364875,7.802849,0,0,-1,0,1,0,0,0,0,0,0
3,1.12,25.96150997149434,13.025000000000002,0,0,-1,0,1,0,0,0,0,0,0
4,0.694403,14.7648230602334,10.572648,0,0,-1,0,0,0,1,0,0,0,0
5,1.4268,26.87005768508881,0.0,0,0,-1,0,1,0,0,0,0,0,0
6,1.452797,18.681541692269406,0.0,0,0,-1,0,1,0,0,0,0,0,0
7,0.1262,5.830951894845301,0.5049,0,0,-1,0,1,0,0,0,0,0,0
8,1.8476,32.2490309931942,2.538736,0,0,-1,0,0,0,1,0,0,0,0
9,0.1387,16.76305461424021,22.790875,0,0,-1,0,1,0,0,0,0,0,0
10,1.538,24.698178070456933,0.0,0,0,-1,0,1,0,0,0,0,0,0
11,0.203,18.60107523773827,6.494999999999999,0,0,-1,0,0,0,1,0,0,0,0
12,1.6130000000000002,25.632011235952593,9.239,0,0,-1,0,1,0,0,0,0,0,0
13,1.0178,27.459060435491967,5.360175,0,0,-1,0,0,0,1,0,0,0,0
14,0.4248,31.40063693621516,7.650533999999999,0,0,-1,0,1,0,0,0,0,0,0
15,0.726,18.384776310850235,8.526000000000002,0,0,-1,0,1,0,0,0,0,0,0
16,0.201,13.92838827718412,6.004,0,0,-1,0,1,0,0,0,0,0,0
17,0.5047,36.40054944640259,5.8195,0,0,-1,0,1,0,0,0,0,0,0
18,0.84,16.643316977093242,0.0,0,0,-1,0,1,0,0,0,0,0,1
19,0.2575,27.29468812791236,1.119858,0,0,-1,0,1,0,0,0,0,0,0
20,0.7654,7.280109889280517,8.377986,0,0,-1,0,0,0,0,0,0,0,0
21,0.2957,17.804493814764854,74.32903299999998,0,0,-1,0,1,0,0,0,0,0,0
22,1.971136,29.0,0.0,0,0,-1,0,1,0,0,0,0,0,0
23,2.791326,32.64965543462902,1.2655000000000003,0,0,-1,0,1,0,0,0,0,0,0
24,1.464786,12.806248474865697,0.0,0,0,-1,0,1,0,0,0,1,0,0
25,1.598456,44.0,4.757306,0,0,-1,0,1,0,0,0,0,0,0
26,0.1745,19.416487838947603,4.707651,0,0,-1,0,1,0,0,0,0,0,0
27,1.587174,30.14962686336267,9.1711,0,0,-1,0,1,0,0,0,0,0,0
28,0.575,23.259406699226016,19.916,0,0,-1,0,1,0,0,0,0,0,0
29,0.6668,25.495097567963924,24.406203,0,0,-1,0,0,0,0,0,0,0,0
30,0.2129,11.704699910719626,24.860103,0,0,-1,0,1,0,0,0,0,0,0
31,0.8295,14.422205101855955,4.541027,0,0,-1,0,1,0,0,0,1,0,1
32,1.6567060000000002,19.6468827043885,0.0,0,0,-1,0,1,0,0,0,0,0,0
33,1.111169,12.083045973594572,16.892542000000002,0,0,-1,0,1,0,0,0,0,0,0
34,0.507,12.529964086141668,0.0,0,0,-1,0,1,0,0,0,0,0,0
35,0.2256,26.47640458974745,2.130492,0,0,-1,0,1,0,0,0,0,0,0
36,0.32,10.816653826391967,10.585999999999999,0,0,-1,0,1,0,0,0,0,0,0
37,2.282877,27.313000567495326,9.260396,0,0,-1,0,1,0,0,0,0,0,0
38,1.147,36.496575181789325,0.0,0,0,-1,0,1,0,0,0,0,0,0
39,1.173,25.019992006393608,0.0,0,0,-1,0,1,0,0,0,0,0,0
40,1.24,28.861739379323627,7.758999999999999,0,0,-1,0,1,0,0,0,0,0,0
41,0.653,8.06225774829855,8.345999999999998,0,0,-1,0,1,0,0,0,0,0,1
42,0.6117,25.94224354214569,0.0,0,0,-1,0,1,0,0,0,0,0,0
43,0.4057,17.08800749063506,9.080155,0,0,-1,0,1,0,0,0,0,0,0
44,1.35,25.632011235952593,5.274000000000001,0,0,-1,0,1,0,0,0,0,0,0
45,0.911106,24.59674775249769,0.0,0,0,-1,0,0,0,0,0,0,0,0
46,2.661981,27.85677655436824,0.0,0,0,-1,0,1,0,0,0,0,0,0
47,0.72,18.248287590894662,6.973000000000001,0,0,-1,0,1,0,0,0,0,0,0
48,0.3915,30.08321791298265,6.8521540000000005,0,0,-1,0,1,0,0,0,0,0,0
49,0.2761,21.213203435596427,8.436622999999999,0,0,-1,0,1,0,0,0,0,0,0
50,0.454,9.219544457292887,0.0,0,0,-1,0,1,0,0,0,0,0,0
51,0.986192,27.85677655436824,0.0,0,0,-1,0,1,0,0,0,0,0,0
52,0.605433,14.142135623730953,7.45401,0,0,-1,0,0,0,0,0,0,0,0
53,1.643747,43.08131845707604,11.084426999999998,0,0,-1,0,1,0,0,0,0,0,0
54,1.081643,23.08679276123039,27.346984999999997,0,0,-1,0,1,0,0,0,0,0,0
55,1.1306,29.966648127543394,4.8999,0,0,-1,0,1,0,0,0,0,0,0
56,2.489097,29.732137494637012,0.0,0,0,-1,0,1,0,0,0,0,0,0
57,0.1427,10.295630140987,3.184441,0,0,-1,0,1,0,0,0,0,0,0
58,1.093,21.0,8.56,0,0,-1,0,1,0,0,0,0,0,0
59,1.755,14.7648230602334,0.0,0,0,-1,0,1,0,0,0,0,0,1
60,0.5329999999999999,25.29822128134704,10.132,0,0,-1,0,1,0,0,0,0,0,0
61,1.870228,27.892651361962706,0.0,0,0,-1,0,1,0,0,0,0,0,0
62,0.356627,25.079872407968914,0.0,0,0,-1,0,1,0,0,0,0,0,0
63,1.886754,32.2490309931942,1.312762,0,0,-1,0,1,0,0,0,0,0,0
64,1.703998,40.04996878900158,0.0,0,0,-1,0,1,0,0,0,0,0,0
65,0.68,23.706539182259394,5.5619999999999985,0,0,-1,0,1,0,0,0,0,0,0
66,1.617,12.206555615733702,13.313,0,0,-1,0,1,0,0,0,0,0,1
67,0.5739,13.601470508735444,11.7538,0,0,-1,0,1,0,0,0,0,0,0
68,1.3846,34.713109915419565,0.0,0,0,-1,0,1,0,0,0,0,0,0
69,1.582967,37.05401462729781,3.0971200000000003,0,0,-1,0,1,0,0,0,1,0,0
70,0.495,22.84731931759173,1.239,0,0,-1,0,1,0,0,0,0,0,0
71,2.213736,38.275318418009284,13.361324,0,0,-1,0,1,0,0,0,0,0,0
72,2.095117,21.095023109728988,2.3209020000000007,0,0,-1,0,0,0,0,0,0,0,0
73,0.7913,24.839484696748446,19.714233,0,0,-1,0,1,0,0,0,0,0,0
74,0.0044,7.280109889280517,3.241523,0,0,-1,0,1,0,0,0,0,0,0
75,0.923588,27.313000567495326,0.0,0,0,-1,0,1,0,0,1,0,0,0
76,0.144299,24.413111231467404,3.149348,0,0,-1,0,0,0,1,0,0,0,0
77,1.260249,28.79236009777593,0.0,0,0,-1,0,1,0,0,0,0,0,0
78,1.395,28.23118842698621,6.715892,0,0,-1,0,1,0,0,0,0,0,0
79,0.7112,33.541019662496836,6.762949000000001,0,0,-1,0,1,0,0,0,0,0,0
80,0.333,10.44030650891055,9.472999999999999,0,0,-1,0,1,0,0,0,0,0,0
81,2.239,18.35755975068582,0.0,0,0,-1,0,1,0,0,0,0,0,0
82,2.0780000000000003,27.0,0.0,0,0,-1,0,0,0,1,0,0,0,0
83,0.4469,25.709920264364875,3.253,0,0,-1,0,1,0,0,0,0,0,0
84,0.1646,12.529964086141668,10.903211,0,0,-1,0,0,0,0,0,0,0,0
85,0.7303,17.08800749063506,4.202948000000001,0,0,-1,0,1,0,0,0,0,0,0
86,0.526,24.33105012119288,13.827,0,0,-1,0,1,0,0,0,0,0,0
87,0.211,25.45584412271571,14.142000000000001,0,0,-1,0,1,0,0,0,0,0,0
88,1.733,25.238858928247925,10.36,0,0,-1,0,1,0,0,0,0,0,0
89,0.365536,22.13594362117865,21.2147,0,0,-1,0,1,0,0,0,0,0,0
90,0.24904,23.259406699226016,0.21360000000000004,0,0,-1,0,1,0,0,0,0,0,0
91,0.417437,15.033296378372908,19.391092000000004,0,0,-1,0,1,0,0,0,0,0,0
92,0.8267770000000001,16.401219466856727,18.981752000000004,0,0,-1,0,1,0,0,0,0,0,1
93,0.1999,31.256999216175572,0.0,0,0,-1,0,1,0,0,0,0,0,0
